"","id_match","league","season","date","team","goals_scored","goals_conceded","fouls_commited","fouls_opponent","yellow_cards","red_cards","result","VAR","status","month","team_status","postVar","treated"
"135",68,"Bundesliga 2","2017/2018",2017-09-23,"St Pauli",1,2,16,12,1,0,"L",0,"HomeTeam","2017-09",1,0,1
"136",68,"Bundesliga 2","2017/2018",2017-09-23,"Fortuna Dusseldorf",2,1,12,16,0,0,"W",0,"AwayTeam","2017-09",0,0,1
"137",69,"Bundesliga 2","2017/2018",2017-09-24,"Bochum",2,0,17,25,2,0,"W",0,"HomeTeam","2017-09",1,0,1
"138",69,"Bundesliga 2","2017/2018",2017-09-24,"Ingolstadt",0,2,25,17,4,0,"L",0,"AwayTeam","2017-09",0,0,1
"139",70,"Bundesliga 2","2017/2018",2017-09-24,"Darmstadt",3,3,17,17,3,0,"D",0,"HomeTeam","2017-09",1,0,1
"140",70,"Bundesliga 2","2017/2018",2017-09-24,"Dresden",3,3,17,17,4,0,"D",0,"AwayTeam","2017-09",0,0,1
"141",71,"Bundesliga 2","2017/2018",2017-09-24,"Greuther Furth",1,3,14,15,2,0,"L",0,"HomeTeam","2017-09",1,0,1
"142",71,"Bundesliga 2","2017/2018",2017-09-24,"Nurnberg",3,1,15,14,2,0,"W",0,"AwayTeam","2017-09",0,0,1
"143",72,"Bundesliga 2","2017/2018",2017-09-25,"Union Berlin",5,0,15,22,2,0,"W",0,"HomeTeam","2017-09",1,0,1
"144",72,"Bundesliga 2","2017/2018",2017-09-25,"Kaiserslautern",0,5,22,15,4,0,"L",0,"AwayTeam","2017-09",0,0,1
"145",73,"Bundesliga 2","2017/2018",2017-09-29,"Ingolstadt",3,0,18,15,2,0,"W",0,"HomeTeam","2017-09",1,0,1
"146",73,"Bundesliga 2","2017/2018",2017-09-29,"Darmstadt",0,3,15,18,3,0,"L",0,"AwayTeam","2017-09",0,0,1
"147",74,"Bundesliga 2","2017/2018",2017-09-29,"Kaiserslautern",3,0,12,20,0,0,"W",0,"HomeTeam","2017-09",1,0,1
"148",74,"Bundesliga 2","2017/2018",2017-09-29,"Greuther Furth",0,3,20,12,3,0,"L",0,"AwayTeam","2017-09",0,0,1
"149",75,"Bundesliga 2","2017/2018",2017-09-30,"Erzgebirge Aue",1,2,6,17,0,0,"L",0,"HomeTeam","2017-09",1,0,1
"150",75,"Bundesliga 2","2017/2018",2017-09-30,"Union Berlin",2,1,17,6,1,0,"W",0,"AwayTeam","2017-09",0,0,1
"151",76,"Bundesliga 2","2017/2018",2017-09-30,"Holstein Kiel",3,0,16,11,0,0,"W",0,"HomeTeam","2017-09",1,0,1
"152",76,"Bundesliga 2","2017/2018",2017-09-30,"Bochum",0,3,11,16,4,1,"L",0,"AwayTeam","2017-09",0,0,1
"153",77,"Bundesliga 2","2017/2018",2017-09-30,"Nurnberg",1,2,6,9,1,0,"L",0,"HomeTeam","2017-09",1,0,1
"154",77,"Bundesliga 2","2017/2018",2017-09-30,"Bielefeld",2,1,9,6,1,0,"W",0,"AwayTeam","2017-09",0,0,1
"155",78,"Bundesliga 2","2017/2018",2017-10-01,"Braunschweig",0,2,10,10,0,0,"L",0,"HomeTeam","2017-10",1,0,1
"156",78,"Bundesliga 2","2017/2018",2017-10-01,"St Pauli",2,0,10,10,0,0,"W",0,"AwayTeam","2017-10",0,0,1
"157",79,"Bundesliga 2","2017/2018",2017-10-01,"Heidenheim",0,2,16,27,4,0,"L",0,"HomeTeam","2017-10",1,0,1
"158",79,"Bundesliga 2","2017/2018",2017-10-01,"Dresden",2,0,27,16,2,0,"W",0,"AwayTeam","2017-10",0,0,1
"159",80,"Bundesliga 2","2017/2018",2017-10-01,"Sandhausen",2,0,19,18,4,0,"W",0,"HomeTeam","2017-10",1,0,1
"160",80,"Bundesliga 2","2017/2018",2017-10-01,"Regensburg",0,2,18,19,4,1,"L",0,"AwayTeam","2017-10",0,0,1
"161",81,"Bundesliga 2","2017/2018",2017-10-02,"Fortuna Dusseldorf",3,1,17,13,4,0,"W",0,"HomeTeam","2017-10",1,0,1
"162",81,"Bundesliga 2","2017/2018",2017-10-02,"Duisburg",1,3,13,17,2,0,"L",0,"AwayTeam","2017-10",0,0,1
"163",82,"Bundesliga 2","2017/2018",2017-10-13,"Duisburg",0,0,9,14,2,0,"D",0,"HomeTeam","2017-10",1,0,1
"164",82,"Bundesliga 2","2017/2018",2017-10-13,"Braunschweig",0,0,14,9,1,0,"D",0,"AwayTeam","2017-10",0,0,1
"165",83,"Bundesliga 2","2017/2018",2017-10-13,"St Pauli",1,1,9,24,0,0,"D",0,"HomeTeam","2017-10",1,0,1
"166",83,"Bundesliga 2","2017/2018",2017-10-13,"Kaiserslautern",1,1,24,9,1,0,"D",0,"AwayTeam","2017-10",0,0,1
"167",84,"Bundesliga 2","2017/2018",2017-10-14,"Bielefeld",0,2,17,9,1,0,"L",0,"HomeTeam","2017-10",1,0,1
"168",84,"Bundesliga 2","2017/2018",2017-10-14,"Fortuna Dusseldorf",2,0,9,17,0,0,"W",0,"AwayTeam","2017-10",0,0,1
"169",85,"Bundesliga 2","2017/2018",2017-10-14,"Bochum",2,0,11,15,2,0,"W",0,"HomeTeam","2017-10",1,0,1
"170",85,"Bundesliga 2","2017/2018",2017-10-14,"Sandhausen",0,2,15,11,3,0,"L",0,"AwayTeam","2017-10",0,0,1
"171",86,"Bundesliga 2","2017/2018",2017-10-14,"Dresden",2,2,17,16,1,0,"D",0,"HomeTeam","2017-10",1,0,1
"172",86,"Bundesliga 2","2017/2018",2017-10-14,"Ingolstadt",2,2,16,17,4,0,"D",0,"AwayTeam","2017-10",0,0,1
"173",87,"Bundesliga 2","2017/2018",2017-10-15,"Greuther Furth",2,1,23,15,3,0,"W",0,"HomeTeam","2017-10",1,0,1
"174",87,"Bundesliga 2","2017/2018",2017-10-15,"Erzgebirge Aue",1,2,15,23,4,0,"L",0,"AwayTeam","2017-10",0,0,1
"175",88,"Bundesliga 2","2017/2018",2017-10-15,"Heidenheim",3,5,13,9,3,1,"L",0,"HomeTeam","2017-10",1,0,1
"176",88,"Bundesliga 2","2017/2018",2017-10-15,"Holstein Kiel",5,3,9,13,3,0,"W",0,"AwayTeam","2017-10",0,0,1
"177",89,"Bundesliga 2","2017/2018",2017-10-15,"Regensburg",0,2,15,12,3,0,"L",0,"HomeTeam","2017-10",1,0,1
"178",89,"Bundesliga 2","2017/2018",2017-10-15,"Union Berlin",2,0,12,15,2,0,"W",0,"AwayTeam","2017-10",0,0,1
"179",90,"Bundesliga 2","2017/2018",2017-10-16,"Darmstadt",3,4,11,15,1,0,"L",0,"HomeTeam","2017-10",1,0,1
"180",90,"Bundesliga 2","2017/2018",2017-10-16,"Nurnberg",4,3,15,11,1,0,"W",0,"AwayTeam","2017-10",0,0,1
"181",91,"Bundesliga 2","2017/2018",2017-10-20,"Fortuna Dusseldorf",1,0,10,17,3,0,"W",0,"HomeTeam","2017-10",1,0,1
"182",91,"Bundesliga 2","2017/2018",2017-10-20,"Darmstadt",0,1,17,10,4,0,"L",0,"AwayTeam","2017-10",0,0,1
"183",92,"Bundesliga 2","2017/2018",2017-10-20,"Ingolstadt",3,0,14,19,0,0,"W",0,"HomeTeam","2017-10",1,0,1
"184",92,"Bundesliga 2","2017/2018",2017-10-20,"Heidenheim",0,3,19,14,1,0,"L",0,"AwayTeam","2017-10",0,0,1
"185",93,"Bundesliga 2","2017/2018",2017-10-21,"Braunschweig",1,0,16,15,0,0,"W",0,"HomeTeam","2017-10",1,0,1
"186",93,"Bundesliga 2","2017/2018",2017-10-21,"Bochum",0,1,15,16,3,0,"L",0,"AwayTeam","2017-10",0,0,1
